id,comment,url,star
1,"Great!","https://www.amazon.com/Records-Three-Kingdoms-Plain-Language/product-reviews/1624665233/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
2,"Though it’s a classic The Romance of the Three Kingdoms is long and slow moving. This version is much shorter and quickly paced. The translation is first rate. Having waded through the long version I suggest this shorter, more enjoyable translation.","https://www.amazon.com/Records-Three-Kingdoms-Plain-Language/product-reviews/1624665233/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
3,"This is the first half of C. H. Brewitt-Taylor's translation of the 14th-century Chinese classic. I am reading his translation in parallel with Moss Roberts's translation. While I am unable to judge the comparative accuracy of the two renditions, as a reader I considerably prefer Roberts's translation, primarily due to his extensive and illuminating endnotes. Lacking the information in those endnotes, I think I would have been unable to appreciate the narrative.  The one respect in which I prefer the Brewitt-Taylor translation is that he inserts paragraph breaks when the text switches from one speaker to another. He also adopts a somewhat more archaic prose style than Roberts does, which may appeal to some readers (though not me) as suggesting the story's venerable age. The original Chinese novel was penned over six hundred years ago, and is based on historical events from about 200 A.D.  I note that I am finding it helpful to read each chapter twice, once in each translation. The book has a vast cast of characters, none of whom I was familiar with before, but many of whom would have been known to its original audience. Reading a chapter again allows me a sense of what it would be like if I wasn't trying to remember who everybody was and which faction they supported. (Although this is slightly undermined by the two translations using different schemes for transliterating Chinese names.)  I will postpone comment on the book's quality as a story until I eventually make my way to the end.  P.S. My rating of 3 out of 5 stars is as much a rating for the translation as for the underlying story, and I may well end up giving the Roberts's translation a higher rating.","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",3
4,"This review doesn't really concern the story - Romance of the Three Kingdoms is justly a classic piece of literature, and it'd be slightly ridiculous to review the story itself on an Amazon review. It's amazing, and exciting, and definitely read it if you can.  What I will review - and what I have significant problems with - is the Tuttle edition for Kindle. I can't really speak on the printed edition, but a lot of my criticisms, I suspect, will apply.  Firstly, there are a ton of typos. I'm averaging one per page now. Things like:  'Today her son is on the throne and all the officials are her friends/ and her influence is enormous.'  It seems petty, and normally I'd ignore it, but it gets on your nerves after a while.  The fact that there are so many of these errors speaks to a lack of proper editing, I think, which leads to my next point: a lot of the prose is pretty bad, stylistically. It varies from place to place, but it's at best annoying and at worst a serious impediment. More than once I've had to stop and ask myself: 'who is the subject of this sentence?' or even 'who is the direct object?' which takes me out of the action while I have to parce the previous paragraph and see who the translator is talking about.  The register of the translation changes as well - one second a character might be speaking in a very formal, periphrastic 'bureaucratese' and then end the sentence with something jarringly vernacular. It seems like a minor issue, but things like that can confuse characterization and are just generally poor usage. More generally, the dialogue is stilted and artificial: 'The originator of the plan to injure your brother was Chien Shih.' Stylistically, it's an awkward sentence - why phrase it like that? It seems pretty obvious that the translator was probably not a native speaker - which is fine, as long as there's a strong editor to clean things up, which seems to be lacking here.  The next one is a bit of a preference thing, I'll admit: usage of Wade-Giles. When I was learning Chinese, Pinyin was the ONLY romanization used. Say what you want about the merits of Wade-Giles, but Pinyin is what people are going to generally be familiar with today. So when I read through this and see (I think) Kongsun Tsan, I have to stop and translate it in my head: 'Kongsun Tsan? Is that Gongsun Zan?' (I've read this book - different editions - a number of times, so I'm familiar with the characters. Otherwise I'd honestly be lost.)  Now I hear what you're saying: 'but what about the people that don't know anything about China? Wade-Giles would be so much simpler. That way people aren't pronouncing Cao as Cow!'  There are a number of other issues in the book that make that a questionable argument. Firstly, WG has its issues here as well - Kongsun's 'Kong' is not pronounced as in King Kong. There are a number of reasons why it would make a bit of obscure linguistic sense to write it that way for romanization purposes, once more to do with consnant voicing, but someone utterly unfamiliar with Chinese would be tripped up by it just as well as they would with Pinyin's c equalling (roughly) [ts]. But this is a huge digression.  For the uninitiated there are somewhat larger issues. Most notably, the usage of ranks. The book is a bit ambivalent about this: when we first meet Guangong, the book notes that this signifies he is Lord Guan (as gong = lord). Other times, however, the book introduces ranks (Chinese ranks) without a single explanation of what it is: 'so-and-so was at the time occupying the rank of ssu-tu.' Well, ok - what is this rank? Where is it on the hierarchy? Is it low or high?  For the record, ssu-tu is situ or 'Minister of Education.' It's worth noting that the edition didn't even get this right: ssu-tu would be si-du in Pinyin, as tu=du and t'u=tu. If you care, the apostrophe (as far as I know) here represents differentiation in consnant voicing.  Why was it necessary to tell us this character was 'ssu-tu' without explaining WHAT it was? (The Minister of Education, an important post, which would help explain why this person was in a position to plan a coup.) The book does this a number of times, which makes the sections revolving around court intrigue especially painful, as we're told person x had position a, person y had position b and person x had position c, with the positions generally not elaborated upon.  The worst part is when the book half does this and half doesn't: 'Commissioner X told Y Ssu-tu [note the Chinese syntax for titles] such-and-such.' Some titles are fully translated and some aren't - so we're hearing Empress Ling tell Tung T'ai-hou (=Dowager Empress) something. It then switches. Overall, INCREDIBLY confusing for a book that has so many important interludes in the highly stratified court.  So we have a confused usage of ranks (some English, some Chinese, some mixed) which at times have no explanation as to what they are or where they are in the court hierarchy. At best, we've been briefed once, and it's NEVER touched again. Why couldn't the translator simply render 'ssu-tu' as Minister of Education throughout the book? What would it have taken away that was more important than clarity?","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",2
5,"This is a great work of literature, and this edition's introduction is a great transition for the Western reader into the right mindset.","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
6,"I would definitely have enjoyed it more if I could follow the characters. The characters are numerous and have VERY complicated and some similar names.","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",3
7,"This is a must for those who enjoy history. It's a Chinese classic and I've read both books. This is reading I would recommend.","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
8,"Bought this for my son. He loves Chinese history. This book is actually historical fiction. My son says it is great. In fact, he has read it many times.","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
9,"great","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834687/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
10,"I brought it for my husband, it was recommended by a friend. He loves it. He read  Clavell's Shogun and this book is similar to it.","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
11,"AMAZING. From start to finish i couldn't put down these books. I recommend to anyone! Great gift for any reader","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
12,"Good book, very historical and insightful. A little difficult to keep track of the all the story lines but I enjoyed it .","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
13,"It's AMAZING! I love having background on favorite games of mine and this is Dynasty Warriors. I also love Asian culture and this book is fantastic!","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
14,"This book came is in excellent condition and looks like it will be a great read. I bought it for my husband for Christmas and I know he'll be very excited to read it! :)","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
15,"Absolutely love it!!","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
16,"Excellent love factual history","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
17,"This version of the book is  horrible, the names are all wrong or badly translated.  If you want to read and enjoy the three kingdoms look elsewhere.","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",1
18,"Good Chinese historical Essay ....... the end of the Han Dynasty","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834687/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
19,"Very historical and clearly relating to a Biblical writing in the February  24th 2014 article in the Daily Bread publication","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
20,"Had wanted this for a gift, but now am not sure. The item was unopened, at least apparently, but had been noticeably dented on one corner, making me hesitate to use it as a gift item. Rather disappointed, although in checking the description it doesn't exactly violate it. Maybe I should have been more careful, but would have liked to have seen that in the description so I could have bought something else.","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",3
21,"stilted translation makes it tedious going. Storyline evolves (is that the right word?)/wanders along, too much Chinese 'structure' to this extremely predictable story.","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",2
22,"This book is enormous. Two volumes with around 1,400 pages. It is a long saga, an epic some say, in a way a picaresque epic across the whole of China during the Han dynasty of the empire, when that empire was at risk because of internal strife and the incapability of the emperor to keep things under control, by his own fault (the own fault of several emperors one after another) and inability of building some kind of government that could be reliable, transparent and non-corrupted.  And that is where the book is amazingly revealing.  This empire is quite obviously a feudal empire. Power is in the hands of governors appointed by the emperor in each district. The governors are appointed for what these people did for the empire, particularly what they did militarily, and there the difference between serving the empire and serving themselves is not always clear. Ambitious people can climb to the top in no time and then impose their power.  The decomposition of this empire started when the various feudal lords or lordlings started considering the eunuchs, organized in a very close community and clan, who were provided by the emperor with the full control of the government because the emperor is lazy in many ways and looks for an easy way to control such a big empire, and because the emperor is incompetent technically (ignorance of a lot of things necessary for government) and psychologically (unfit to exercise such an enormous power). He then relied on the eunuchs of the empire, a clan of men – and their relatives – who had been castrated for any reason whatsoever, among others to become the top officers of the empire. The most famous eunuch along that line was Admiral Zheng He who had been castrated at an early age because he was a Muslim and he became the top man of the Chinese fleet before it was dismantled by the Confucian Mandarins when they took over around 1430.  These corrupted eunuchs encourage all kinds of outlaws to go around in the country and raid cities and farming areas to their own profit and to the shared profit with local supporters of the eunuchs. A rebellion came from the various local or regional lords who had the power and the means to raise armies. They united and finally succeeded in getting all the eunuchs eliminated and executed, but the main military force was in the hands of an ally of the local and regional lords, an ex-outlaw who shifted from raiding cities and farming communities to raiding the central government by taking control of it. The empire is then at stake because it explodes into rivaling cities and provinces and the central brigand controlling the empire spreads and increases his power by taking control of rebellious provinces.  This is typically feudal. Power is in the hands of the stronger person, of the stronger clan, and stronger means military force and nothing else. Then this power is only a way for those in power to loot the country by levying armed forces and taxes for their own profit. Then the emperor can even be chosen, within the Han line, but for how long? That’s the beginning of the saga but that explains the whole saga: feudalism was the real social and political architecture of the Chinese empire.  The main originality is that there was no spiritual or religious authority of any sort that could set some criteria and norms for everyone and keep the whole empire unified by some kind of spiritual allegiance, unity. That’s the main difference with European feudalism that was entirely controlled and governed by the Catholic church, hence by the Pope and his bishops and cardinals. Nothing like that in the Chinese Empire. So no Peace of God, becoming then Peace of the King in the various kingdoms, a movement that outlawed the use of military force within the limits of each kingdom and also within the limits of Christendom. That explained in part the crusades that started in the 11th century but it also explained the Teutonic crusade against the non-Christian Slavonic people in Poland, Ukraine and what they called Lithuania. War was directed to outside areas, officially non-Christian and to be Christianized. That started quite early after the fall of the Roman Empire and later on the fall of Charlemagne’s empire who only fought against the various Asian tribes or military forces trying to penetrate Europe from the East and against the mostly Muslim Saracens trying to do the same from Spain.  And the emergence of such a spiritual force took a lot of time. The book was written after the takeover of the empire by the Confucian Mandarins and we could wonder if it is not a reflection of this evolution in the 15th century that inspired the author to show how bad it could have been before when the empire’s unity was endangered by internal strife and its unity was rebuilt later on by the leaders of the three kingdoms. We have to think of the other great saga of Chinese literature, “Journey to the West” by Wu Cheng’en, a saga whose earliest extant copy is traced to 1592 and is the story of a Monkey that travels to the west to discover the famous Buddhist scriptures that found the Taoist approach of life that developed in China as the spiritual guideline of the empire and can be considered as the basis of the Confucian Mandarin takeover in the 15th century.  That is rather amazing to see this empire evolving from a purely feudal state with a marginal Taoist presence seen more like some witchcraft than anything else, though they carry the Chinese medical tradition and the ethical code of Taoism, the Chinese version of Buddhism in the making. Their final victory will destroy the Chinese fleet, the most impressive one in the whole world at the time, vastly centered on the China seas and the entire Indian Ocean and that would have been  capable to defend the empire against the European invasion that was still to come when Admiral Zheng He died. The result was a total closing up of the empire onto itself, which enabled the Europeans to come and take control of the whole of the Indian Ocean and then of the China Seas. Closing up on itself made the Chinese Empire weak, particularly the tool of its power was destroyed: the various commercial routes known as the Silk Roads.  You will find all that in these books and it will make clear that the present commercial policy of China to reopen and redevelop the various Silk Roads is the only way for China to develop and recapture its past greatness. Will this policy re-establish some feudal state? Hardly conceivable. Will it establish some hierarchical centralized and unified system in the whole country and beyond? That’s also a dubious unrealistic view. China has to open itself to the world but that will not lead to the looting the English, the French and later on the Japanese tried to impose to China, but it may turn Chinas as the beating heart of the global economy, or at least one of the beating hearts of the global world using its commercial power rather than military force. That should bring you to wondering if the use of military force is not a feudal way of looking at the world and trying to dominate it. You may come to wondering if president Trump’s approach of the world is not a feudal way of looking at the problem in total opposition to and contradiction with the Chinese commercial approach of president Xi.  To conclude I will say that Chinese literature, old or more recent like Lao She’s books and plays, is always centered on this problematic of the whole world in development and the choice between three possibilities: 1- pure military force and a feudal system; 2- pure spiritual closing up onto themselves and their protected own resources: some Confucian hierarchical architecture; 3- a general commercial vision that brings economic development to the world: modern sharing resources via some global free but regulated marketplace.  Just get into this saga and enjoy the action and the treacherous ways of most of these feudal lords.  Dr. Jacques COULARDEAU","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834687/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
23,"This is an older translation; sometimes it opts for pseudo-medieval vocabulary, and as many others have noted, it uses the Wade-Giles system of romanizing the Chinese names rather than the pinyin one more often used these days. The newer translation by Moss Roberts probably reads better and has more apparatus, but is not available as an ebook. This ebook does allow one to read the Romance in English on your favorite Kindle platform, but the ebook, like so many of them, is quite badly made. It seems to have been scanned and run through an OCR program but not proofread properly, so that (quite aside from the Chinese names) English words come out misspelled on a regular basis. You can almost always emend the garbled reading, but it's a bit embarrassing for a once respectable publisher like Tuttle.","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_3?pageNumber=3",5
24,"It is a well made TV series based on this classic.  Characterization and acting are all excellent, I am especially impressed by the period costume and the set, they looked very well executed and certainly added to the enjoyment of the whole series.  you can input the following to search YouTube:Three Kingdoms - Episode【01】English Subtitles","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_3?pageNumber=3",3
25,"The story is truly a classic and the translation is pretty good.  However, the actual product is pretty sloppy.  Volume one was less problematic than volume two, but both had a high number of instances.  The main problem is that letters that are similar in shape, such as b and d, p and g, etc. get switched, almost once a page.  Also, the names weren't proofread very well, as apostrophes get pretty regularly left out.  In a translation system where an apostrophe is the only difference between the names to two characters or places, this becomes a source of confusion.  Also, entire words are left out pretty regularly.  I wonder if any highly fluent English speakers actually got to proofread this, because most of these errors are so obvious.  These errors aren't so bad that it is unreadable, but they really take a person out of the scene while the confusion is dispelled.","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_3?pageNumber=3",5
26,"This is a very good bok, filled with brotherhood, strategy, battles, loyalty, chivalry, etc. And although quite long,it is still worth it. It is a cultural classic, just like the Iliad and the Odyssey are to Greek culture.  It has many misspellings but they are easily surmounted and pose no real threat to the stories comprehension. I would recommend it to anyone who likes reading, especially those who enjoy historical,cultural, or classical books.  Note: This translation may be somewhat confusing to some people because it uses the more old-fashioned Wade-Giles spellings rather than the more contemporary Pinyin System.  If you were introduced to the Three Kingdoms through the multiple video games that are out,as I was, that use the Pinyin system, it might take a little extra thought on your part to understand who is who as you are reading. For Example, Guan Yu and Cao Cao in Pinyin become Kuan Yü and Ts'ao Ts'ao in Wade-Giles.","https://www.amazon.com/Romance-Three-Kingdoms-Tuttle-Classics/product-reviews/0804834679/ref=cm_cr_arp_d_paging_btm_next_3?pageNumber=3",3
