id,comment,url,star
1,"Anyone who is familiar with the real literature work, knows it is voluminous .. These 'Real-Reads' little books seem to be the perfect way to install interest and curiosity among the younger generation, with a good balance of some illustrations between the text. For parents/adults it gives a great synopsis of an extensive book, so that they at least have some basic knowledge about the story line when mentioned in a conversation. I applaud the effort of these books, which also end with 'Food for thought/homework' assignments, making it ideal for a school project/educational setting.","https://www.amazon.com/The-Water-Margin/product-reviews/B00S9V6PVA/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
2,"This is the 70-chapter version, which leaves out the entire second half of the novel.","https://www.amazon.com/Water-Margin-Outlaws-Classic-Classics/product-reviews/0804840954/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",3
3,"The Water Margin (Shui Hu Zhuan) is one of the most surprising classics of Chinese literature. Many books in the west have portrayed Asia, and China in particular, as being a place where people blend in, go along to get along, or submit to authority out of Confucian filial piety. This is not one of those books. This book is a riot of rebellious violence, subversive vulgarity, bouyant indulgence and righteous indignation. It is a celebration of a society of individuals and their complex relationships.  The basic story follows a series of characters who for various reasons fall from grace with the powers that be, sometimes through no fault of their own, but often through their own rapacious appetites. They each find themselves pushed by a mix of circumstance and necessity, to the marshes of Mount Liang, where they unite to form a notorious gang of bandits, waging outright war against a corrupt bureaucracy.  As this novel defies stereotypes of  traditional Chinese culture, it also presents one of the most complex and ambivalent portraits of heroism in literature. The bandits in the Water Margin are not merely 'Robin Hood in China' though some that is stolen form the rich is indeed given to the poor, they are each complex individuals with their own motivations, often in contradiction with their comrades and themselves.  This translation, furthermore, is an excellent way to get to know the novel. Many earlier translations either bowdlerized or censored the more vulgar and ignoble content, or politicized the work, attempting to impose bland moral conformity on a work that's principle insight was the moral complexity of human beings. This translation restores the text to its original form, and updates translational conventions to modern standards.","https://www.amazon.com/Water-Margin-Outlaws-Classic-Classics/product-reviews/0804840954/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
4,"Of course the underlying literary work is great; but did anyone else notice quite a few typographical and grammatical errors while reading this English language edition? Seems as though it suffers from the general lack of copy editing to which many digital age publications (of both new works and old) are prone.  I am not a Chinese literary scholar, so I can't speak to the quality of the translation or the editing of the abridged version. Nonetheless, the fairly frequent typos made it hard for me to trust the quality of this edition overall. I recently ordered the first volume of the Shapiro translation published by Foreign Languages Press in order to compare.","https://www.amazon.com/Water-Margin-Outlaws-Classic-Classics/product-reviews/0804840954/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",3
5,"This is a very long but worthwhile book. It's not difficult to understand why, in Chinese tradition, 'The Water Margin' is considered one of the great Chinese books.  Whoever reads it will find a well conceived ethic, romance, violence, and nobility of spirit.  I found the Kindle format well suited to a book of this size. Scrolling and bookmarking, with the succinct explanatory notes, make this a very readable and easy to use book.  Despite some minor typographical errors, possibly OCR malfunctions, the book was never unintelligible, and deserves the five star rating I gave it.","https://www.amazon.com/Water-Margin-Outlaws-Classic-Classics/product-reviews/0804840954/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
6,"This is a great translation of 水浒传 that was instantly engaging. Going through the book, it's easy to get the tons of different characters mixed up, but that's not a fault of this version whatsoever. I have a hard time reading books to the end, but this one engulfed me and kept me turning the pages.","https://www.amazon.com/Water-Margin-Outlaws-Classic-Classics/product-reviews/0804840954/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
7,"Such a great read, I'm looking forward to reading the extended version!","https://www.amazon.com/Water-Margin-Outlaws-Classic-Classics/product-reviews/0804840954/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
8,"enjoyed, but i'm a Suikoden fan.","https://www.amazon.com/Water-Margin-Outlaws-Classic-Classics/product-reviews/0804840954/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
9,"Very readable but it is missing the last 30 chapters?","https://www.amazon.com/Water-Margin-Outlaws-Classic-Classics/product-reviews/0804840954/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",2
10,"Only half the novel but definitely a good translation","https://www.amazon.com/Water-Margin-Outlaws-Classic-Classics/product-reviews/0804840954/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
