id,star,text
0,0,"""The notebook"" was ordered for my wife after she saw the movie. She says that she rates it five stars."
1,0,"This book had a magnificent whirl of fun twisted into it, while it still kept the seriousness of jing wang."
2,0,"Although the translation is atrocious, and the book is poorly redacted, it may be the most concise version ever made of this fantastic book, which should get a lot more credit in the West. Also, the names of all the characters are properly translated and maintained, something vital to the comprehension of the massive novel. The poetry isn't too bad, as well, but some passages are absolute tangles of incomprehensible and broken English. Personally, some simple mistakes, repeated along the 1000 pages of the Romance, became very grating, like ""the Cao Cao's army""."
3,0,"I can still recommend it for skilled readers, because it's the only version for Kindle at an affordable price, and it's quicker to read than other translations."
4,0,"It may be ponderous to read, and possibly difficult to keep track of everyone, but it was an enjoyable read for me."
5,0,After watching Red Cliff I had the desire to read more of the before and after. This book filled that desire.
6,0,"If one want's to learn a bit more about individuals, or discern fact from fiction, the link on the kindle that takes you to Wikipedia is a useful tool."
7,0,"This book is very long and can be hard to get through due to the overwhelming amount of characters and events going on.  As an American, there is a culture barrier for me there as well.  However I am thankful I persevered through the story.  I've always been a big Dynasty Warriors fan, and Redcliff is one of my favorite movies. It was great to get a more complete picture of the events of the Three Kingdoms, and all the little details and interactions.  A great read if you can make it through!"
8,0,"I was introduced to the world of Romance of the Three Kingdoms thanks to the Dynasty Warriors game, and decided I wanted to read to original work that the games were based on. This is actually the second copy of the story that I've bought; the first had a drastically different translation style -- Liu Bei was Liu Pei, Guan Yu was Kuan Yu, etc -- and it was off-putting enough that I found it difficult to follow."
9,0,"For those who are here because of the same reason I was, you'll be pleased to know that this printing shares the vast majority of the translations with the games we know and love. Sun Ce is Sun Ce, not Sun T'se!"
10,0,"One of the problems with ordering a book on Kindle is that you don't know its full length in pages. ""The romance of three Kingdoms must be a rather thick volume and it is more a historical chronicle than a romance. For a non-Chinese the profusion of names and places make it confusing ( a map and a register of persons would have helped ). So , although it is ineresting ,it is also tiring"
11,0,R.Simon
12,0,"Superb, still one of the best piece of literatures. I have read it many times in other language. It is interesting to read it in English and see some variations in the interpretation of the translator. There are problems due to name pronunciations."
13,0,"I quite like books that are long even if they are very dry, like economics books.  But this one was a bit too not good to read.  It reads like a very simple story but too many characters are thrown at you for no more than a line or two and you end up lost trying to unnecessarily remember them all."
14,0,"Its a good story, but not very readable."
15,0,I love the stories. I first learned about the three kingdoms playing DYNASTY WARRIORS and reading the book brought real depth and insight into the history. A great read if you can overlook some typos and bad translations.
16,0,"The characters names get to be to much, since they are Chinese name they get to be hard to remember, but it is a great read.  The action moves right alone so name are not to much of problem."
17,0,The Romance of Three Kingdoms by Luo Guanzhong is an exceptional book. I recommend it to all from my heart.
18,0,I am a PhD student with major in signal processing and machine learning with applications to neuroimaging data. I must emphasize that the following review is affected by my knowledge and review criteria. So it is somewhat subjective.
19,0,This book may be the newest book on EEG signal processing. It reviewed some newly developed techniques with emphasizing on independent component analysis (ICA). Plenty of references are provided at the end of each chapter.
20,0,"However, compared to many classic books in signal procesisng and EEG fields, I have to give three stars to this book, due to the following reasons:"
21,0,"1) Some contents that are not important are introduced with many pages, while some contents that are important are introduced briefly (note the main body of the book has only 265 pages)."
22,0,"For example, in the 265-page book, the authors use 34 pages to introduce the background, while use half a page (or one or two paragraphs) to introduce some important algorithms which are new to EEG signal processing and have potential applications."
23,0,"Another example. We know that using ICA to detect, separate and classify P300 signals is very important in the history of EEG/ERP processing. There are numerous literature involve it. But the authors give only half a page to state it."
24,0,2) Some algorithms introduced in this book are not complete.
25,0,"Through the description of the book, the reader may not well understand some algorithms, such as the Parallel Factor Analysis (Section 7.3.2), because they are introduced briefly. For some algorithms the definitions of some symbols are missed, such as the algorithm in Section 5.2.4: what's the meaning of Q? And in Section 3.1.3-3.1.4 what's the meaning of r?"
26,0,"For some important algorithms the authors almost directly list the equations of the algorithms without explanation, such as the one in Section 5.2.9. If there is possible for the authors to provide the second edition, I think they should add something important about the algorithms, such as the motivation of algorithms, the key steps in the development of algorithms (eg. the construction of objective function of algorithms), the physical meanings of algorithms, and their performance in practical applications and so on."
27,0,3) The selection of algorithms in each topic is strongly affected by the authors' interest and their published work.
28,0,"For example, in Section 3.1.3-3.1.4 the authors use 7 pages to introduce their work in the ICASSP conference, while leaving lots of important methods (proposed by others) published in other top journals or top conferences unmentioned."
29,0,"Another example: In Section 7.2.1 (Preprocessing of EEG) the authors only introduced their published work, but not introduced others' work. I think in this section some things should be added. For example, there are other preprocessing aspects in addition to artifact removal. Even in artifact removal by ICA, other methods may need to be added such as several kinds of constrained ICA, methods based on higher-order statistics (using ICA as preprocessing and then using conventional methods to remove artifact), and the automatic methods for artifact removal. Especially, the removal of eye artifact may need to be added, because removal of eye artifact is very important for the visual attention experiments."
30,0,"4) Some places in the book may be not clear and may arouse readers' misunderstand, or even wrong."
31,0,"For example, in page 98 the authors said, ""for the EEG mixing model....the propagation velocity is equivalent to that of electromagnetic waves (300,000km/s). Therefore the delay is almost zero and the mixing model can always be considered to be instantaneous (ICA model)"". It's wrong. The delay definitely exists in EEG signals, since the propagation velocity of EEG signals is very very low compared to the electromagnetic waves. And there are some literatures using convolutive ICA to process EEG signals (Neural Computation 2006, Neural Networks 2003, etc)."
32,0,"Another example. In Section 1.2.3 the authors put skewness and kurtosis, which are often seen as measurement of non-Gaussinity in statistics literature, in the subsection of measurement of nonstationarity. Although the authors think the skewness and kurtosis are useful in the measurement of non-stationarity of signals with time-varying distribution, they may need to give clearer explanation, and provide other conventional measurement of nonstationarity (maybe it is necessary to provide the definition of nonstationarity, since there are several definitions of it in signal processing literature)."
33,0,"In summary, the book is absolutely not a textbook, but a long review, such that you may not fully understand algorithms but you can look for original papers to get details according the references provided by the book."
34,0,"I hope the authors can provide the second edition, in which they can balance their work and others' work, balance each contents (important contents and introductory contents), provide more details on algorithms (at least those important algorithms), include more newly developed techniques or important algorithms, and modify some errors. More importantly, they need to carefully exam their manuscript."
35,0,"Stephen King's Dark Tower epic is easily one of my favorite fantasy series of all time.  It features a wonderful world mixing pretty much my two favorite things:  the world-building of Tolkien's Lord of the Rings & the imagery of Sergio Leone's Dollar Trilogy.  Unfortunately, I hadn't ever owned the complete series; I read them either through libraries, online or from friends. Having them all in one place where I can burn all my money in one go and re-read them again and again and again is the perfect gift to myself.  I'm not usually a fan of movie tie-in editions, but here it isn't distracting since it still features original covers (not movie stills).  You just have to see Idris Elba and Matthew McConaughey's name on the box.  Overall if you've never owned the complete set then this is a fantastic investment.  If you've never read the series and are thinking about buying it on a whim, all I can say that is if you love fantasy, westerns, sci-fi, horror, epic adventure, and characters that you'll never want to stop traveling with, then stop reading this right now and hit the ""order"" button."
36,0,"I actually bought this as a gift for my dad, who reads constantly but does not tend to read fantasy, horror, or Stephen King. He told me it would be a while until he got started on the series because of deadlines (he's retired but still writes textbooks). Two days later he told me, jokingly, that he was very mad at me for getting him hooked on this series, as he has been unable to put the books down and binged the first 3 novels in 2 days, ignoring deadlines and emails and probably the various chores my mom assigned him. =D"
37,0,"Got me thru 3 months of segregation in prison.... Great read for those doing a decent amount of time... Glad I had the time.... Only in prison can u read so much so quick, usually uninterrupted, that I couldn't imagine trying to finish this whole  series in the world, unless jobless or Idk.... But you should get in tune with this one!"
38,0,"I bought this for my granddaughter.  I loved the fact I did not have to track down all of the books to purchase them.  She started with a book in the middle of the series without realizing she was reading out of sequence.  She did enjoy the book, so I decided to treat her to an exciting adventure that only author Stephen King can spin.  It was a mixture of an old western, some 14th century chivalry and good old fashioned on the edge of your seat reading.  The Stand was my favorite book, but this one definitely came in a close second.  This is totally worth the price of the set."
