id,star,text
0,0,"I recently purchased this book because I've read it in the past and will need to make reference to it (though I have pretensions of scholarship, this is not a scholarly review!).  I enjoy reading everything written by Anthony Yu.  In _Re-Reading_ I appreciate his detailed analysis and his direct comment on religious elements in Honglou Meng (Dream of the red chamber).  Anthony Yu is willing to take on the broad community of scholars to make his particular points of emphasis and in Re-Reading I feel he especially allows for a closer sympathy to the characters of the novel and their engagement with their own destinies.  Some may feel the theory to be a little steep but I feel the whole discussion helps me personally to work through what I see in the novel."
1,0,"I am an avid reader, approximately 100 books per year on a variety of topics and themes.  I have to say that The Dark Tower I: The Gunslinger is one of the most unreadable books I have ever encountered.  I powered through over half of the book before I asked myself;  WTH am I spending my time reading this nonsense.  I will never attempt to finish this book due to the intense boredom of it.  I can't say more than that except don't waste your time."
2,0,Confusion and Unmoored Sufferings
3,0,"While reading this book, it almost seemed like the author was creating confusion and misery for misery and confusion’s sake!  Why would you do that in the first book of a series?  If Stephen King’s name wasn’t on this book, I sincerely doubt most readers would have finished reading it.  That said after completing the book I googled it and found King’s fans encouraging people to “power” through the book because book two is good, while on the same page I found others talking about underage sex that is weird in further editions of the series.  This leads me to one question:"
4,0,"“Why did you create such frivolous misery in your novel Mr. King?”  Apart from Jake, it just seems like pain that neither builds the character, nor furthers the story.  It is, to me, uninteresting and does nothing but sear and jade your reader’s imagination."
5,0,"This book was much less interesting than some less known/self-published smaller authors today like AC Cobble, Peter Flannery, A.G. Riddle and others.  In fact this being the first Stephen King book I’ve ever read, I was left wondering if the only reason he has been so popular was due to the advertisements of his brand over the years.  After all, prior to Amazon a writer could not easily get their works known or published.  I now wonder if King is really deserving of his lofty place amongst well known literary authors."
6,0,"The final quarter of this book from the flashback of Roland’s “coming of age” through the cave onward was decent and even good occasionally, but prior to that I wanted to stop reading the book several times."
7,0,"Maybe my review is unfair, but this doesn’t seem like a work worthy of one of the past century’s most popular authors.  Read it if you must, or just read the cliff’s notes version and save yourself some pointless misery."
8,0,"I don't understand the fascination with this series, much less Stephen King.  Most of his books end up with an alien monster.  This one ended up in the trash."
9,0,"Stephen King says he started his epic series, THE DARK TOWER, when he was a very young man. Perhaps with the arrogance and/or enthusiasm of youth this series is a mash-up of any number of literary traditions. In most hands it could have wound up a mess."
10,0,"THE GUNSLINGER, the first in the series, opens, appropriately enough, with “the gunslinger” chasing an unidentified man across a nameless desert:"
11,0,"“The man in black fled across the desert, and the gunslinger followed.”"
12,0,"The scene has the look and feel of an old spaghetti western, which King freely admits:"
13,0,“… I realized that what I wanted to write was a novel that contained Tolkien’s sense of quest and magic but set against Leone’s almost absurdly majestic Western backdrop.”
14,0,I think he succeeded:
