id,star,text
0,0,I gave it as a gift.
1,0,"The Journey to the West is one of the Four Great works of Chinese literature.  Kathryn Lin retells this story in a format accessible to young, and very young children.  Each of the 37 pages of this book is richly illustrated with numerous, bright, eye-catching watercolors and drawings.  Although this is not a bilingual book, for  parents wishing to expose their children to Chinese language or culture at an early age, the author intersperses common Chinese characters (along with pronunciation and a concise definition)."
2,0,"The character of the Monkey King is reminiscent of Curious George. Or, one could say Curious George is reminiscent of the Monkey King.  I highly recommend this book to parents who want to familiarize  their children to another culture, especially those with children who already have an interest in Sagwa, Mulan, or other Chinese-themed children’s books."
3,0,"Beautifully printed, plain language and images to foreign readers to understand the ""Journey to the West"" story."
4,0,Amazingly well done and beautiful art. Great intro book for little ones to learn about the monkey king and his story
5,0,"Really cute book and easy to read. Pictures are watercolor and nicely done, bright. The length of it was also enough to be a good story time book. Good addtion for a child's library. Would recommend."
6,0,"What more could you ask for in a children's book? The beautiful illustrations will charm young children and parents alike. Lin brings the Monkey King to life, making him into a spunky, funny and lovable protagonist. Lin writes a Chinese story for a Western audience, providing parents the perfect opportunity to expose their children to a culture different from their own. How clever of Lin to write this story! Bravo."
7,0,What a treat!  I got it for my daughter and read the book to her before she goes to bed.  This version of monkey king is playful and child-friendly.  The pictures are colorful and fun.  My daughter enjoys the story as well as learned a few Chinese characters.  Highly recommended.
8,0,"Like the author, I also grew up with stories of the Monkey King, Wukong.  This is a great re-telling of story.  I love the illustrations!  I am buying a copy for my nephew."
9,0,Love the book! The story is interesting and fun. I bought one for my niece as her birthday gift. She really enjoys the story and learns Chinese words. Highly recommended!
10,0,"The best in the series in my opinion. Carries the legend forward and explores what only the poetry of the original probably ever has contained (at least in translation). Monkey is masterfully acted, and Gong Li is compelling as always. The writing is superb here, and this is what carries the upgraded special effects."
11,0,"Truly a A+ production in all respects. This installment doesn't play down the more serious side of Journey to the West, and that is much of why I see it as the most balanced and loving interpretation from this series and in relation to all others on film to date."
12,0,I loved the original Monkey King. This was like reading one a children's book. I should have read that it was in Chinese and not dubbed.. but it did have subtitles..
13,0,"This is an excellent and worthy continuation of the series that began with Donnie Yen portraying Sun Wukong, the iconic Monkey King, with Aaron Kwok taking over in the role and positively owning it. He doesn't let the special effects--of which there are lots and lots--outdo him at all. Gong Li makes for a sexy and seductive villainess who gets plenty of chance to shine as well. The Blu-Ray itself arrived in excellent condition in a most timely manner, and I'm pleased with how everything went, here! Definitely check this out--and it also adheres to the book pretty well, I might add."
14,0,"I love the effects, and like the story of this movie. It starts out with a monk who is attacked while on his journey, and trapped in a cave. Then he discovers Monkey King. Monkey King gets the monk to free him, and then he helps the monk escape his pursuers. Along their journey they come across a evil demon who wants to eat the monk to obtain immortality. Watch how they overcome her."
15,0,Was ok. Seemed like a rush from fight to fight rather than a nicely paced story. Most effects were done well. Subtitles may have lost a bit in transition. Worth a watch but don't expect to be wowed.
16,0,"Sequel to The Monkey King, Havok in Heaven. Watch #1 first, if you want it to make sense. Excellent production values."
17,0,We loved the first Monkey King Movie and couldn't wait to see the second. Loved it. English subtitles are so easy to get used to. Now own all three parts of the Monkey King series.
18,0,"Really enjoyed the movie. Always enjoyed the stories about the Monkey King. The story was predictable at certain points but, it flowed well. My only real problem was the brevity of the fights between the Monk's pupils vs the main villain's henchwomen."
19,0,I had wanted this mostly due to Gong Li who I consider a great actress and never disappoints. Have never seen any of the other Monkey King films before so plan to catch up on the others.
20,0,Very nice movie. I have liked Gong Li for a long time. Sexy sensual and good acting.
21,0,"[The Journey to the West (西遊記) is so well-known a story in Chinese culture that I won't bother to review the story as such, but will focus on the translation.  This book is the first volume of a four-volume translation.  This review covers all four volumes.]"
