id,comment,url,star
1,"Just what is needed for an intermediate Chinese learner who is interested in the Chinese classics.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/7563480897/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
2,"Very good as expected.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/7563480897/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
3,"Good","https://www.amazon.com/Mansions-Library-Chinese-Classics-Volumes/product-reviews/7119024116/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
4,"The paper quality is bad and the font is very small. I would recommend people to buy Red Mansion for better quality ones. The price is also bit over priced compared the original price in China.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/7563480897/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",2
5,"It is a great book. Hardcover is in a good condition. Four stars for the small cartoon on the cover. It make the book cheap and just a teenage book, actually it is a very great all-ages book.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",4
6,"good","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_4?pageNumber=4",5
7,"This book is worth reading over and over again.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
8,"love it","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
9,"some misspelling.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",4
10,"One of the four greatest books in China that every Chinese student should know at least a partition of the story.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
11,"I'm very satisfied with this kindle version.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
12,"Shipment is fast, the book is new with the hard cover very durable!","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
13,"good classical novel to read !","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
14,"Love this novel","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1",5
15,"perfect","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",4
16,"Great book","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
17,"Great book i have every read, beautiful 满 纸 荒 唐 言 一 把 辛 酸 泪 曹雪芹 太棒了good good","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
18,"it is good","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
19,"the story of the stone is of China's Four Great Classical Novels, is one of my favorite novels too, I was reading it thoroughly when I was in childhood. Now I read it again in my thirthies, I have much more different recept now after decades, luckily I can read it on kindle which is just like reading on book paper and release me from holding a heavy book.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
20,"The best novel in the world if you can understand Chinese.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
21,"Read everyday.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
22,"This book is fantastic,no one can't miss.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2",5
23,"Great famous one.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_3?pageNumber=3",5
24,"A book to carry everywhere you go for any Chinese.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_3?pageNumber=3",5
25,"AAAA","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_3?pageNumber=3",5
26,"I have watched this story in movie in different versions. It was a great story if you into Chinese novel I will strongly recommend this. That is also in English version (A Dream of Red Mansion)","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_3?pageNumber=3",5
27,"Famous novel in digital now! Cheers!","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_3?pageNumber=3",5
28,"Never complained about Free stuff.","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_3?pageNumber=3",5
29,"didn't work with my translator","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_3?pageNumber=3",1
30,"I rate it 3 star because i didn't really read it so i don't know hows it like and every other review was english but the book is chinese?!  Do they know how to read chinese or they just read the english version and review here.. Opps!! WHAT IS WRONG WIT ME! you probably thinking why i am even talking about this but..whatever just read this great chinese version novel","https://www.amazon.com/Dream-Red-Mansion-Chinese/product-reviews/753547439X/ref=cm_cr_arp_d_paging_btm_next_3?pageNumber=3",3
