,id,stars,results,scores,comment,url
0,1,4,积极,0.425,To be honest I skimmed it at best.  It was a gift to someone I know is year of the monkey :-)  They were pretty thrilled with it though.  We don't really believe in the horoscope stuff but it is fun to get things like this.,https://www.amazon.com/Journey-West-Amazing-Adventures-Classics/product-reviews/0804839492/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1
1,2,4,积极,0.475,So glad I got this. I have been wanting to read it for years. I have heard they are such great stories. Now I can read them on my own.,https://www.amazon.com/Journey-West-Amazing-Adventures-Classics/product-reviews/0804839492/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1
2,3,5,积极,0.9,The book was in great condition and the arrival time was sooner than I had anticipated. I am very impressed.,https://www.amazon.com/Journey-West-Amazing-Adventures-Classics/product-reviews/0804839492/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1
3,4,3,积极,0.20625,THIS IS A NICE LITTLE BOOK FOR KIDS ADNADULTS.,https://www.amazon.com/Journey-West-Amazing-Adventures-Classics/product-reviews/0804839492/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1
4,5,2,消极,-0.06944444444444443,"This edition of Journey to the West really has no reason to exist. It's basically a rephrased version of Arthur Waley's classic abridgement, but without  the whimsical fun factor. Also, the illustrations are borderline terrifying. The cover looks fine, but the pictures scattered througout the book are hideous. Why does Sun Wukong look like a grizzled hellbeast?",https://www.amazon.com/Journey-West-Amazing-Adventures-Classics/product-reviews/0804839492/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1
5,6,3,积极,0.3541666666666667,"These stories were well written and provide an insight into a religion unknown to many.  There were adventures and trials, sorrow and repentance, and a task accomplished.  Reading these stories helps all understand the benefits of a life worth living in a honest and righteous way. Many can benefit from a righteous life!",https://www.amazon.com/Monkey-Kings-Amazing-Adventures-Enlightenment/product-reviews/0804842728/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1
6,7,5,积极,0.42083333333333334,"Awesome story! An irrepressible monkey character, seeking immortality and defying the very mandate of heaven, defying the gods themselves! A legend of freedom and bravery for the ages!",https://www.amazon.com/Monkey-Kings-Amazing-Adventures-Enlightenment/product-reviews/0804842728/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1
7,8,5,消极,-0.03,Well written. Well translated. This book is a must! The monkey kings stories show you some insight on everyday battles that we all face. Maybe not in the form of a monkey or demons flying around. But to take a step back and rethink how you would normally do things.,https://www.amazon.com/Monkey-Kings-Amazing-Adventures-Enlightenment/product-reviews/0804842728/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1
8,9,4,积极,0.41666666666666663,Received as described and quickly but I should have done more research because this is not my cup of tea.,https://www.amazon.com/Monkey-Kings-Amazing-Adventures-Enlightenment/product-reviews/0804842728/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1
9,10,5,积极,0.18333333333333332,"For those who enjoy mythology and fantastic tales this book is for you. Plenty of fights and battles between supernatural warriors. However the story revolves around the Monkey's personal journey, first to gain the knowledge to become powerful and inmortal, then his naughty adventures as an inmortal disrupting heaven, earth and hell and finally to redeem himself by helping Monk Xuanzang from China get the Buddhist sacred scriptures from the remote West (India).  This book is like a Kung Fu flick from the Tang dinasty and it's a delightful first step to study the chinese literary tradition.",https://www.amazon.com/Monkey-Kings-Amazing-Adventures-Enlightenment/product-reviews/0804842728/ref=cm_cr_arp_d_paging_btm_next_1?pageNumber=1
